               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06722,            0.026994,                   0,             0.38789,             0.54015,             0.35969,             0.14368,            0.054865,            0.022746,                   0,            0.067029,          0.00033304,          0.00033304
                   1,            0.056113,            0.025928,                   0,             0.56804,             0.64477,             0.63425,              0.3095,            0.045543,            0.019657,                   0,            0.033963,           0.0006004,           0.0006004
                   2,            0.051138,            0.022744,                   0,             0.85057,             0.73689,             0.83023,             0.46745,            0.039542,            0.016453,                   0,          0.00083103,          0.00080177,          0.00080177
                   3,            0.046772,            0.020847,                   0,             0.79948,             0.72333,              0.8117,             0.49328,            0.036439,             0.01647,                   0,            0.000703,            0.000703,            0.000703
                   4,            0.044233,             0.02035,                   0,             0.81913,             0.71393,             0.80851,             0.50947,            0.035569,            0.016913,                   0,            0.000703,            0.000703,            0.000703
                   5,            0.041631,            0.019535,                   0,             0.89492,             0.79287,             0.89018,             0.58382,            0.032214,            0.013666,                   0,            0.000604,            0.000604,            0.000604
                   6,            0.039729,            0.019018,                   0,             0.91467,             0.81181,             0.89913,             0.61055,            0.030809,            0.013031,                   0,            0.000505,            0.000505,            0.000505
                   7,            0.037977,            0.018177,                   0,             0.90847,             0.82341,             0.90732,             0.62817,            0.029585,            0.012648,                   0,            0.000406,            0.000406,            0.000406
                   8,            0.036767,            0.017878,                   0,             0.92588,             0.83466,             0.91521,             0.65289,            0.028341,             0.01213,                   0,            0.000307,            0.000307,            0.000307
                   9,            0.035141,            0.017122,                   0,             0.93387,             0.83268,             0.91956,             0.66777,            0.027537,            0.011838,                   0,            0.000208,            0.000208,            0.000208
